Year,SERIES,តំបន់យោង,ភេទ,កំរិតនគរូបនីយកម្ម,UNIT_MEASURE,GeoCode,Value
1998,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ស្រី,,ឆ្នាំ,,58.3
2000,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ស្រី,,ឆ្នាំ,,54.4
2001,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ស្រី,,ឆ្នាំ,,55.1
2002,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ស្រី,,ឆ្នាំ,,55.8
2003,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ស្រី,,ឆ្នាំ,,56.5
2004,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ស្រី,,ឆ្នាំ,,57.2
2005,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ស្រី,,ឆ្នាំ,,57.9
2006,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ស្រី,,ឆ្នាំ,,58.6
2007,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ស្រី,,ឆ្នាំ,,59.3
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ស្រី,,ឆ្នាំ,,64.3
2009,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ស្រី,,ឆ្នាំ,,65.2
2010,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ស្រី,,ឆ្នាំ,,66.1
2011,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ស្រី,,ឆ្នាំ,,67.0
2012,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ស្រី,,ឆ្នាំ,,67.9
2013,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ស្រី,,ឆ្នាំ,,68.8
2014,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ស្រី,,ឆ្នាំ,,69.6
2015,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ស្រី,,ឆ្នាំ,,70.4
2016,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ស្រី,,ឆ្នាំ,,71.2
2017,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ស្រី,,ឆ្នាំ,,72.0
2018,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ស្រី,,ឆ្នាំ,,72.7
2019,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ស្រី,,ឆ្នាំ,,76.8
1998,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ប្រុស,,ឆ្នាំ,,54.4
2000,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ប្រុស,,ឆ្នាំ,,60.6
2001,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ប្រុស,,ឆ្នាំ,,61.3
2002,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ប្រុស,,ឆ្នាំ,,62.0
2003,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ប្រុស,,ឆ្នាំ,,62.7
2004,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ប្រុស,,ឆ្នាំ,,63.4
2005,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ប្រុស,,ឆ្នាំ,,64.1
2006,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ប្រុស,,ឆ្នាំ,,64.9
2007,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ប្រុស,,ឆ្នាំ,,65.6
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ប្រុស,,ឆ្នាំ,,60.5
2009,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ប្រុស,,ឆ្នាំ,,61.4
2010,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ប្រុស,,ឆ្នាំ,,62.3
2011,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ប្រុស,,ឆ្នាំ,,63.1
2012,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ប្រុស,,ឆ្នាំ,,64.0
2013,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ប្រុស,,ឆ្នាំ,,64.8
2014,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ប្រុស,,ឆ្នាំ,,65.6
2015,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ប្រុស,,ឆ្នាំ,,66.4
2016,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ប្រុស,,ឆ្នាំ,,67.1
2017,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ប្រុស,,ឆ្នាំ,,67.9
2018,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ប្រុស,,ឆ្នាំ,,68.6
2019,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ប្រុស,,ឆ្នាំ,,74.3
1998,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,,,ឆ្នាំ,,56.3
2000,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,,,ឆ្នាំ,,57.5
2001,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,,,ឆ្នាំ,,58.2
2002,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,,,ឆ្នាំ,,58.9
2003,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,,,ឆ្នាំ,,59.6
2004,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,,,ឆ្នាំ,,60.3
2005,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,,,ឆ្នាំ,,61.0
2006,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,,,ឆ្នាំ,,61.7
2007,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,,,ឆ្នាំ,,62.4
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,,,ឆ្នាំ,,62.4
2009,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,,,ឆ្នាំ,,63.8
