Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2000,SH_STA_MORT,,F,PER_100000_LIVE_BIRTHS,,437.0
2005,SH_STA_MORT,,F,PER_100000_LIVE_BIRTHS,,472.0
2008,SH_STA_MORT,,F,PER_100000_LIVE_BIRTHS,,460.84
2010,SH_STA_MORT,,F,PER_100000_LIVE_BIRTHS,,206.0
2014,SH_STA_MORT,,F,PER_100000_LIVE_BIRTHS,,170.0
2019,SH_STA_MORT,,F,PER_100000_LIVE_BIRTHS,,141.0
2021,SH_STA_MORT,,F,PER_100000_LIVE_BIRTHS,,154.0
2008,SH_STA_MORT,KH01,F,PER_100000_LIVE_BIRTHS,KH01,263.5
2008,SH_STA_MORT,KH02,F,PER_100000_LIVE_BIRTHS,KH02,219.41
2008,SH_STA_MORT,KH03,F,PER_100000_LIVE_BIRTHS,KH03,451.02
2008,SH_STA_MORT,KH04,F,PER_100000_LIVE_BIRTHS,KH04,277.22
2008,SH_STA_MORT,KH05,F,PER_100000_LIVE_BIRTHS,KH05,460.78
2008,SH_STA_MORT,KH06,F,PER_100000_LIVE_BIRTHS,KH06,590.68
2008,SH_STA_MORT,KH07,F,PER_100000_LIVE_BIRTHS,KH07,823.4
2008,SH_STA_MORT,KH08,F,PER_100000_LIVE_BIRTHS,KH08,305.06
2008,SH_STA_MORT,KH23,F,PER_100000_LIVE_BIRTHS,KH23,1388.13
2008,SH_STA_MORT,KH09,F,PER_100000_LIVE_BIRTHS,KH09,1113.26
2008,SH_STA_MORT,KH10,F,PER_100000_LIVE_BIRTHS,KH10,491.03
2008,SH_STA_MORT,KH11,F,PER_100000_LIVE_BIRTHS,KH11,1498.75
2008,SH_STA_MORT,KH22,F,PER_100000_LIVE_BIRTHS,KH22,257.07
2008,SH_STA_MORT,KH24,F,PER_100000_LIVE_BIRTHS,KH24,630.63
2008,SH_STA_MORT,KH12,F,PER_100000_LIVE_BIRTHS,KH12,298.42
2008,SH_STA_MORT,KH18,F,PER_100000_LIVE_BIRTHS,KH18,806.45
2008,SH_STA_MORT,KH13,F,PER_100000_LIVE_BIRTHS,KH13,476.33
2008,SH_STA_MORT,KH14,F,PER_100000_LIVE_BIRTHS,KH14,613.66
2008,SH_STA_MORT,KH15,F,PER_100000_LIVE_BIRTHS,KH15,269.49
2008,SH_STA_MORT,KH16,F,PER_100000_LIVE_BIRTHS,KH16,1441.73
2008,SH_STA_MORT,KH17,F,PER_100000_LIVE_BIRTHS,KH17,366.0
2008,SH_STA_MORT,KH19,F,PER_100000_LIVE_BIRTHS,KH19,423.53
2008,SH_STA_MORT,KH20,F,PER_100000_LIVE_BIRTHS,KH20,558.84
2008,SH_STA_MORT,KH21,F,PER_100000_LIVE_BIRTHS,KH21,568.85
